BILLING_PROVIDER_NPI_NUM,outlier_total_paid,outlier_total_claims,outlier_total_bene,outlier_avg_cost_per_claim,outlier_max_single_record,outlier_count,total_paid,total_claims,total_bene,num_codes,active_months,avg_cost_per_claim,max_single_record
1154549921,True,False,False,False,True,2,9554885.71,23961.0,5813.0,2,11,634.0554092663284,2234487.81
M917673800,False,True,False,False,True,2,5973531.640000001,107441.0,1918.0,3,7,38.383538370658215,2749029.96
1437432929,True,False,False,False,True,2,6890994.180000001,46567.0,1490.0,2,19,136.77330389817038,1332564.92
1245390855,False,True,True,False,False,2,6414349.389999997,101366.0,90788.0,93,84,65.68528077223397,37584.09
1821078932,True,False,False,False,True,2,12252412.399999999,76994.0,31093.0,25,73,131.59569301530973,709285.5
1407888928,False,True,True,False,False,2,3609497.230000001,140213.0,133236.0,241,84,29.2144783911461,77063.9
1053356352,False,True,True,False,False,2,4207426.1899999995,173894.0,154309.0,321,84,23.826663573414724,127619.18
1063452381,False,True,True,False,False,2,4270686.570000004,127966.0,96363.0,181,84,38.41105993637933,13117.72
1942617600,True,False,False,False,True,2,8903715.949999997,72477.0,9610.0,7,29,148.2940462645462,983363.46
1689009854,False,True,True,False,False,2,5331419.309999999,222172.0,208625.0,294,83,28.580475253836994,92102.98
1598707002,True,True,False,False,False,2,11132676.710000012,123745.0,55404.0,29,83,63.78811841921231,591226.61
1861557183,False,True,False,False,True,2,5532400.139999999,121666.0,5578.0,3,15,44.9259854607759,752582.65
1790789501,True,True,False,False,False,2,6835740.800000002,106298.0,17993.0,18,62,99.52814605275024,583997.66
1700896354,False,True,True,False,False,2,5330763.750000005,143095.0,110962.0,277,84,45.048618813964524,120622.07
1457354656,False,True,True,False,False,2,3928534.0299999965,368272.0,244125.0,274,66,11.107787752240954,130972.35
1710045364,True,True,False,False,False,2,9885582.22,102774.0,27953.0,21,71,150.0222814174707,492188.16
1255496220,True,False,False,False,True,2,26492344.38,13107.0,7946.0,12,44,1020.4672297531803,2128909.22
1710916945,False,True,True,False,False,2,4908179.790000003,359113.0,325443.0,279,84,15.40011118836602,273062.09
1952333460,False,True,True,False,False,2,1720511.3299999987,274872.0,250013.0,376,80,18.46939051364869,67878.48
1043240682,False,True,True,False,False,2,1892404.7799999989,109665.0,90320.0,245,84,25.766794875796702,82097.53
1235120676,False,True,True,False,False,2,4838024.739999998,107923.0,92034.0,262,83,50.77876276173756,173104.9
1861423329,True,False,False,False,True,2,9501893.279999997,17384.0,1351.0,6,20,499.2973791883707,1653523.16
