CLAIM_FROM_MONTH,1184703415,1376609297,1417262056,1538649983,1629436241,1699703827,1699725143,1710176151,1922467554,1982757688,market_total,share_1376609297,share_1417262056,share_1699703827,share_1699725143,share_1710176151,share_1629436241,share_1982757688,share_1922467554,share_1184703415,share_1538649983,top10_combined
2019-10-01,0.0,0.0,57171097.95,0.0,1121451.06,7153760.960000001,1224857.8600000003,5548929.15,18329700.32,4377853.47,1297957195.9999943,0.0,4.404698254009314,0.5511553834014132,0.09436812429367708,0.42751249171394284,0.08640123599268562,0.3372879693946409,1.412196055192569,0.0,0.0,7.313619513998243
2019-11-01,0.0,0.0,7083172.290000001,2026416.91,1281812.1,5472516.880000001,3423063.460000001,3056502.2299999995,0.0,1884307.8300000005,1095231916.9600027,0.0,0.6467280746949484,0.49966740333772197,0.31254233984536167,0.2790735170030314,0.11703567802862078,0.17204646804214843,0.0,0.0,0.18502171810557305,2.2121151990574055
2019-12-01,14593139.19,0.0,45236.31,0.0,481592.49000000005,6681379.12,1454991.15,360107.39,18965121.41,2154345.5100000002,1109149977.2399974,0.0,0.004078466476875001,0.6023873468064171,0.1311807401935482,0.03246696996704533,0.043419961220969604,0.19423392275234605,1.709878898180452,1.315704772975201,0.0,4.033351078572854
2020-01-01,0.0,0.0,2673839.43,795141.32,3316275.21,9329418.17,1074586.66,258839.34,0.0,2891173.8300000005,1159575107.280001,0.0,0.23058786043380908,0.8045548849253832,0.09267072510038982,0.02232191242938595,0.28599054853626,0.24933044973531612,0.0,0.0,0.06857178245789976,1.754028163618444
2020-02-01,13427027.9,35746118.79,28419270.19,0.0,1941705.0200000003,7756155.929999999,4944472.7299999995,275937.0,121674.7,3483986.48,1183370762.3200002,3.0207032257514697,2.401552505343632,0.6554290655951346,0.41782954991268784,0.023317882170675323,0.1640825582164363,0.29441208038380456,0.010282043791707052,1.134642525194411,0.0,8.122251436359958
2020-03-01,0.0,38382515.39,2370125.07,0.0,18465979.52,9336105.040000001,4628860.540000001,2238547.96,0.0,3925979.6100000003,1122152640.7200024,3.420436222060911,0.21121235953063086,0.8319817377081351,0.41249829764959633,0.19948693954538033,1.6455853553177708,0.34986145979935396,0.0,0.0,0.0,7.071062371611779
2020-04-01,0.0,0.0,26141659.270000003,0.0,970273.2699999999,7370914.6400000015,2572480.59,5488960.45,21362165.38,2998419.75,845066624.5099995,0.0,3.0934435832391194,0.8722288191506709,0.30441157127600654,0.6495299057849669,0.11481618630514484,0.3548145984038351,2.527867597704094,0.0,0.0,7.917112261863836
2020-05-01,14640435.43,0.0,621001.83,0.0,5581879.979999999,7162371.859999999,2664216.18,3874327.9899999998,0.0,1395193.92,904901803.4000014,0.0,0.06862643301921825,0.7915081871965234,0.2944204741320771,0.428148996437285,0.6168492491701437,0.15418180345732724,0.0,1.6179032216524785,0.0,3.9716383650650533
2020-06-01,0.0,0.0,2945389.63,1813069.05,1416407.44,6490198.149999999,682850.57,6472214.7,0.0,650210.0399999999,1096370564.5800023,0.0,0.26864909777364554,0.5919712148133295,0.062282825903994095,0.5903309436695225,0.1291905753181724,0.059305681947880676,0.0,0.0,0.1653700955292019,1.8671004349557472
2020-07-01,0.0,0.0,3259718.34,17791146.29,1439404.39,7974025.970000002,379744.32999999996,10108091.58,0.0,867556.65,1193699124.2499952,0.0,0.2730770487955322,0.6680097026133035,0.03181239914526991,0.8467872158615299,0.12058351730000488,0.07267800004000913,0.0,0.0,1.4904213238137567,3.503369207569406
