HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
D3222,2018-07,2024-04,5,7195.38,3,2018-07-01,2024-04-01,2018Q3,2024Q2
G0136,2024-01,2024-12,12,257415.69999999998,273,2024-01-01,2024-12-01,2024Q1,2024Q4
93315,2018-01,2022-03,8,27250.6,4,2018-01-01,2022-03-01,2018Q1,2022Q1
98961,2018-01,2024-12,83,219507.59,32,2018-01-01,2024-12-01,2018Q1,2024Q4
10021,2018-05,2024-06,27,19065.79,7,2018-05-01,2024-06-01,2018Q2,2024Q2
E0242,2018-01,2023-08,25,17007.370000000003,3,2018-01-01,2023-08-01,2018Q1,2023Q3
E1405,2018-01,2023-07,29,30639.66,1,2018-01-01,2023-07-01,2018Q1,2023Q3
92512,2018-01,2024-12,77,223043.95,15,2018-01-01,2024-12-01,2018Q1,2024Q4
J1010,2024-04,2024-12,9,306261.76,1013,2024-04-01,2024-12-01,2024Q2,2024Q4
77081,2018-01,2024-11,80,106274.95999999999,63,2018-01-01,2024-11-01,2018Q1,2024Q4
D7910,2018-01,2024-10,30,67888.12,7,2018-01-01,2024-10-01,2018Q1,2024Q4
86834,2018-02,2024-10,70,116051.47,8,2018-02-01,2024-10-01,2018Q1,2024Q4
Q2052,2018-01,2023-11,37,62754.33,2,2018-01-01,2023-11-01,2018Q1,2023Q4
57465,2022-02,2024-05,15,12766.720000000001,6,2022-02-01,2024-05-01,2022Q1,2024Q2
93282,2018-01,2024-11,82,170982.80000000002,59,2018-01-01,2024-11-01,2018Q1,2024Q4
A7012,2018-01,2024-12,84,333695.8199999999,116,2018-01-01,2024-12-01,2018Q1,2024Q4
E0910,2018-01,2024-12,84,181647.43,102,2018-01-01,2024-12-01,2018Q1,2024Q4
L0984,2018-02,2024-11,44,62401.369999999995,13,2018-02-01,2024-11-01,2018Q1,2024Q4
V2114,2018-01,2024-12,76,110073.45,15,2018-01-01,2024-12-01,2018Q1,2024Q4
85008,2018-01,2024-11,83,82048.61999999998,176,2018-01-01,2024-11-01,2018Q1,2024Q4
87809,2018-01,2024-09,52,79879.72,13,2018-01-01,2024-09-01,2018Q1,2024Q3
ATP10,2018-01,2024-12,84,218501.39,52,2018-01-01,2024-12-01,2018Q1,2024Q4
E0636,2022-09,2024-09,11,79039.97999999998,2,2022-09-01,2024-09-01,2022Q3,2024Q3
93701,2018-01,2024-11,79,84981.24999999999,26,2018-01-01,2024-11-01,2018Q1,2024Q4
84591,2018-01,2024-12,84,69203.05,42,2018-01-01,2024-12-01,2018Q1,2024Q4
D9440,2018-02,2024-09,46,113055.12,31,2018-02-01,2024-09-01,2018Q1,2024Q3
K0017,2018-10,2022-03,22,25777.54,7,2018-10-01,2022-03-01,2018Q4,2022Q1
Z1038,2018-01,2024-12,84,210313.63000000003,212,2018-01-01,2024-12-01,2018Q1,2024Q4
67515,2018-01,2024-10,56,47204.7,9,2018-01-01,2024-10-01,2018Q1,2024Q4
92353,2018-07,2024-10,33,54149.79,21,2018-07-01,2024-10-01,2018Q3,2024Q4
A4615,2018-01,2024-12,84,56247.05999999999,112,2018-01-01,2024-12-01,2018Q1,2024Q4
80193,2022-12,2024-08,11,2396.14,1,2022-12-01,2024-08-01,2022Q4,2024Q3
G8754,2018-01,2024-12,84,124581.26000000018,3122,2018-01-01,2024-12-01,2018Q1,2024Q4
95907,2018-01,2023-12,38,31051.409999999996,14,2018-01-01,2023-12-01,2018Q1,2023Q4
11732,2018-01,2024-11,83,167189.86,83,2018-01-01,2024-11-01,2018Q1,2024Q4
D0703,2021-01,2024-12,46,9818.090000000002,17,2021-01-01,2024-12-01,2021Q1,2024Q4
G2058,2020-01,2021-06,15,213746.38999999998,253,2020-01-01,2021-06-01,2020Q1,2021Q2
G8428,2018-01,2024-12,84,57001.530000000006,711,2018-01-01,2024-12-01,2018Q1,2024Q4
84585,2018-01,2024-11,75,120788.49999999999,14,2018-01-01,2024-11-01,2018Q1,2024Q4
G2062,2020-03,2021-04,14,12730.82,14,2020-03-01,2021-04-01,2020Q1,2021Q2
86156,2018-01,2024-12,75,41060.26,6,2018-01-01,2024-12-01,2018Q1,2024Q4
G9717,2018-01,2024-12,84,8055.53,393,2018-01-01,2024-12-01,2018Q1,2024Q4
V2304,2018-01,2024-11,49,23581.0,1,2018-01-01,2024-11-01,2018Q1,2024Q4
4000F,2018-01,2024-12,84,27654.54,475,2018-01-01,2024-12-01,2018Q1,2024Q4
82777,2018-03,2024-06,22,9066.06,4,2018-03-01,2024-06-01,2018Q1,2024Q2
86619,2018-06,2024-11,44,22575.739999999998,4,2018-06-01,2024-11-01,2018Q2,2024Q4
45990,2018-12,2023-09,19,11319.57,5,2018-12-01,2023-09-01,2018Q4,2023Q3
