BILLING_PROVIDER_NPI_NUM,flagged_codes,max_excess_ratio,total_excess_paid
1841224870,488,566375.6153846154,35405131.98
1427101351,32,25.93895789090202,35289802.09
1114081056,1221,32678.571428571428,35089596.13
1487640207,1037,20386.05,34814596.57
1548212988,3600,14163.749999999998,34800619.17
1700947298,79,29.216343986784256,34620524.089999996
1225159064,62,141.04673321502514,33978154.96
1508199258,743,98.8135135135135,33945813.18
1699756221,1161,81350.8,33910684.97
1356583876,45,9.666697502408665,33866293.58
1649495110,87,33.6225165920383,33802499.25
1225048457,93,83.62958918599223,33751335.31
1518012301,692,8384.833333333332,33677718.28
1508990490,69,189.9782467730682,33590956.49
1114152089,97,62.23039318599105,33322779.51
1861554438,1960,246155.30434782608,33089845.87
1457379448,2841,16827.49206349206,33033330.73
1609848811,49,9.526139337065608,32856048.65
1760426969,397,26.30590822338395,32748724.57
1972579837,3404,4210.411764705882,32577872.38
1215143805,74,28.680347502471363,32440096.79
1780711291,134,59.704240638218934,32286470.77
1942617600,43,10336.333333333332,32219867.06
1467505073,3643,12433.08695652174,32172851.98
1588908388,164,5565.888888888889,32157859.47
1679560502,32,9.245227076237398,32083552.36
1720281264,77,93.70353128831769,32013956.18
1568658821,732,37636.666666666664,31939842.62
1215951751,1566,86.64641323937084,31916238.17
1548202641,1497,23612.5,31915331.06
1073972097,155,35.537482320686784,31612120.84
1891293056,54,28.863178072739526,31444337.92
1508856535,1210,16714.358974358976,31258848.06
1891849725,318,101.4021132181093,30976852.83
1730132234,7419,4074.0555555555557,30851105.06
1225101041,2689,22997.85714285714,30779393.26
1922141167,40,21.941462268956595,30642893.07
1801131289,29,34.818047803337706,30394461.88
1215473558,38,31.382535407111835,30346000.51
1073811378,1081,3921.4285714285716,30338350.31
1821206228,33,45.42059205775138,30337784.35
1447382817,49,32.230408618962194,30299536.48
1689778953,595,279.85896296296295,30277743.0
1689048340,19,8.348416943341467,30251392.65
1346243375,1215,206917.0,30129966.19
1699280768,39,33.187122980413214,29972882.98
1720537178,1855,26965.500000000004,29751868.54
1972541498,1853,53443.75,29627542.07
1851333686,1004,12521.384615384615,29589137.75
1346285657,1370,8589.615384615385,29561071.26
1013062769,812,28880.631578947367,29544868.77
1659315430,463,14.509847027972027,29498705.37
1285641514,1652,321421.86956521735,29489604.64
1720050826,56,15.766462016375604,29468174.15
1033165527,1632,9.693769201674456,29403389.39
1033239058,158,45.048223676068496,29403322.55
1740389154,838,18864.916666666668,29402941.64
1780773408,84,699555.7843137255,29383127.65
1326250150,64,102.4249953500451,29346339.46
1952528408,69,44.04380857817226,29267466.97
1952851735,117,49.532759036044496,29222292.61
1588754519,87,508.5596690133328,29111417.29
1114057163,460,21433.944444444445,29053733.85
1447477815,2215,561.545827633379,28992606.15
1508809765,1130,365.2971261568436,28797774.04
1700828852,3976,39895.875,28557218.89
1710918545,2043,127635.99999999999,28465133.65
1982064390,86,22.146574501314184,28364538.51
1316969934,848,11.959444070002558,28353193.85
1609983790,1134,442239.0833333334,28158552.99
1164013959,42,77129.28,28025743.6
1790865780,409,57.21314758131418,28012285.99
1093777492,1176,23052.631578947367,28008308.93
1467517235,400,22.216199899379507,27872299.77
1487187704,51,38.644223600859064,27854572.94
1538116652,180,12.815572212850109,27777818.29
1376698043,835,793.7237569060774,27716050.99
1124231782,27,11.984577372257903,27703351.830000002
1952476665,1064,8612.952380952382,27698516.9
1225205354,60,40.20443097457818,27590793.54
1457587222,10,7.68113555296945,27540723.71
1760590962,3024,1865.3650549052109,27504357.36
1770583999,887,52377.882352941175,27419413.77
1174769822,62,30.67188648623271,27312100.33
1275197055,102,11.315451594327625,27263717.44
1699769901,3387,49351.9375,27254830.03
1396956462,43,143.42198884148343,27242070.11
1245343052,539,18.964162037790228,27104971.13
1831397645,56,126.25,27028575.57
1013131804,42,28.26338063254012,26946251.05
1285971887,21,9.963454534109362,26919393.46
1942224696,309,100800.0,26903211.16
1235134024,589,61854.1875,26737614.71
1720560030,48,33.27622389832572,26726002.49
1881658276,354,1690653.3333333333,26718626.43
1003024514,118,36.790550577824625,26710033.34
1609869916,1822,17708.772727272728,26510993.07
1528351285,36,28.735401816780914,26441200.02
1396813861,1342,7848.863636363636,26395985.51
1619344017,126,46.446378159992506,26381950.95
1205962883,55,23.744783424428803,26327370.68
1154352532,774,202.5862785108602,26177310.97
1811991151,1349,64000.0,26032592.12
1427003862,105,91.34121082102429,25998182.2
1336290964,56,8.855515220417383,25765055.26
1285006379,603,23.67218468913384,25749670.0
1134500648,53,27.254079183420515,25724535.9
1689653305,398,27061.874999999996,25631977.89
