BILLING_PROVIDER_NPI_NUM,flagged_codes,max_claims_per_bene,total_paid
1306421417,1,52.666666666666664,283649.87
1417490202,1,52.584158415841586,424668.4
1558420018,1,52.5,191535.1
1053823369,1,52.44054093782155,2905508.0999999996
1699318675,1,52.32710280373832,57106.14
1073738753,1,52.32596685082873,523033.69
1851592307,1,52.226939970717424,2397627.1999999997
1306014238,1,52.16326530612245,86129.46
1366025116,1,52.01360544217687,215678.33999999997
1588178693,1,52.01092896174863,610771.33
1386720167,1,52.0,0.0
1336467166,1,51.971989966555185,18716383.939999998
1578108643,1,51.89705882352941,678747.7
1801433834,1,51.864137086903305,170622.08000000002
200886362,1,51.8421052631579,0.0
1326780354,1,51.76470588235294,294565.56
1447656756,1,51.729166666666664,9250.08
1588717615,1,51.693679092382496,798140.38
1801898176,1,51.68247126436781,2784128.71
1073039251,1,51.679245283018865,16398.79
A342131700,2,51.661317754936036,45025237.840000026
1649307984,1,51.64383561643836,116191.4
1003820077,1,51.58974358974359,65428.079999999994
1073939096,1,51.552535570959506,7514010.66
1184780637,1,51.54545454545455,1490752.08
1194907436,1,51.5,4800.0
1093844037,1,51.494505494505496,10080186.05
1194246298,1,51.46666666666667,0.0
1841323789,1,51.43589743589744,0.0
1053683169,1,51.391709844559585,1924807.1599999997
1184137010,1,51.3806146572104,2638660.78
1316430937,1,51.333333333333336,15793.5
1467647883,1,51.32432432432432,12950.56
1124268719,1,51.32,92987.33
A514465200,1,51.27019386106623,14656823.24
1174060529,1,51.266666666666666,0.0
1952049959,1,51.21264367816092,563654.51
1215122072,1,51.2029702970297,1002699.52
1407322621,1,51.142857142857146,11511.0
1235645847,1,51.09529553679131,4742367.9
1306260740,1,51.05882352941177,13994.67
1245841246,1,51.009966777408636,965696.5000000001
1154625333,1,50.99609069585614,1508381.0500000003
1013935113,1,50.93167701863354,216619.92
1033703806,1,50.92857142857143,699523.3999999999
1598101198,1,50.91327913279133,1290159.44
1932161361,1,50.90277777777778,28682.25
1083901896,1,50.76442307692308,634109.5099999999
1497810964,1,50.75,0.0
1588259972,1,50.578088578088575,4823864.800000001
1346466232,1,50.416666666666664,244824.0
351946913,2,50.067567567567565,0.0
1255417275,1,50.02002861230329,241567.17000000004
1999999984,1,49.81818181818182,23887.5
1407124951,2,49.6764705882353,671355.53
1063056059,1,48.55263157894737,76837.77
1841498060,1,48.285714285714285,0.0
1144631110,1,47.68543046357616,519987.84
1760887459,1,47.63636363636363,0.0
1427119486,1,47.61538461538461,7018.79
1831227263,2,47.466089466089464,1626914.2600000002
1487021788,1,47.03846153846154,67247.44
1629122841,2,46.93877551020408,884853.0700000001
1588175723,1,46.78260869565217,25704.8
1508984006,1,46.173489278752434,2339504.02
1871198952,2,45.59245960502693,6612004.079999999
1437122009,2,44.94570928196147,534115.8499999999
1871503417,1,44.92857142857143,219.14
1063617058,1,44.31297709923664,21397.999999999996
1124124797,1,44.14810562571757,2711206.02
1497814883,1,43.82051282051282,160113.63999999998
1063293496,1,43.74404761904762,1609367.7599999998
1265784086,1,43.469255663430424,203291.65999999997
1326148669,2,43.3634703196347,1626927.71
1518435882,1,43.17977528089887,18087.6
1194792028,1,42.837922895357984,1212449.0399999998
1962663120,1,42.73976221928666,794467.75
1881206902,1,42.56198347107438,41909.22
1861168163,2,42.48192771084337,0.0
1518006691,1,42.299790356394126,710290.26
1013924372,3,42.23694779116466,648653.02
1407561533,1,42.041666666666664,46513.05
1427025352,1,41.855737704918035,301211.00999999995
1801254883,1,41.815384615384616,1591.1200000000001
1265556435,1,41.73076923076923,164025.16999999998
1487681656,2,41.666666666666664,1984.85
1316037633,1,41.578947368421055,53701.76
1811191307,2,41.5,2063.96
1760864151,1,41.5,253000.0
1649664855,1,41.49702380952381,0.0
1750508040,1,41.07070707070707,0.0
1073850384,2,40.65555555555556,120357.38999999998
1033687371,1,40.648648648648646,2167.88
1013160753,1,40.37735849056604,0.0
1982941290,3,40.32932330827067,534891.5000000001
1700452539,1,40.28,0.0
