BILLING_PROVIDER_NPI_NUM,n_codes,avg_z_score,max_z_score,high_z_count,total_paid,total_claims,upcode_ratio,flag_upcoding
1972624815,31,12.162937258019104,20.576073079057316,28.0,360100.71,588.0,0.9032258064516129,True
1982356549,4,12.162564410296104,28.011496981336375,4.0,599212.36,113.0,1.0,True
1447305784,3,12.133974362808274,34.278250231252734,2.0,38235.0,50.0,0.6666666666666666,True
1881730802,641,12.097670829220068,48.175988084655216,533.0,5710211.880000001,18731.0,0.8315132605304212,True
1811589971,8,12.084288776024806,15.06743393083636,8.0,2403177.94,727.0,1.0,True
1790106300,70,12.055734147151139,19.676407543405535,70.0,5258317.69,3675.0,1.0,True
1346302023,6,11.89458807900042,13.74594073504013,6.0,46126.920000000006,74.0,1.0,True
1801322714,16,11.884884430195388,18.686515016457633,16.0,2261383.24,372.0,1.0,True
1881374650,141,11.80761612479201,25.147152866152712,108.0,2790951.3599999994,5330.0,0.7659574468085106,True
1881264273,42,11.743354296347176,30.943790342445368,39.0,6914622.04,4176.0,0.9285714285714286,True
1356948947,43,11.709128005883134,39.18402555510603,42.0,11611282.650000002,5089.0,0.9767441860465116,True
1144999145,30,11.709030191322991,15.552296126463835,29.0,1384598.55,1791.0,0.9666666666666667,True
1265558324,14,11.677921411236346,52.9795171771731,6.0,1127391.31,1917.0,0.42857142857142855,True
1679236764,12,11.593517769669083,22.78919527427341,12.0,3222498.1100000003,235.0,1.0,True
1811925308,69,11.573928257514094,24.330200997511145,68.0,9306790.08,1904.0,0.9855072463768116,True
1134875727,6,11.533282422068842,38.944526661185314,2.0,1024515.6400000001,235.0,0.3333333333333333,True
1134317498,23,11.523412876047239,12.928984404712327,23.0,15693810.959999999,2633.0,1.0,True
1457127185,4,11.445167803331797,18.504467749907782,4.0,137713.68,76.0,1.0,True
1710552278,26,11.413971095917987,53.70570662599474,14.0,2097682.62,1467.0,0.5384615384615384,True
1437108974,15,11.403688385687882,49.729014883562826,6.0,112156.06999999998,264.0,0.4,True
1952631442,109,11.402149350831438,42.109658977079285,92.0,1735352.8100000005,3350.0,0.8440366972477065,True
1598939233,22,11.385086944161431,18.37572645965399,22.0,590963.6000000001,353.0,1.0,True
1750966016,16,11.291368866191451,12.502375768630898,16.0,323505.92,329.0,1.0,True
1689794364,492,11.247807338947082,24.545934591027596,438.0,5567518.259999999,10151.0,0.8902439024390244,True
1295024206,48,11.241513066941865,17.332939756469944,48.0,1534414.5100000002,921.0,1.0,True
1912461179,7,11.222537230854822,13.640490657333109,7.0,142669.4,106.0,1.0,True
1366197824,3,11.177568378221274,14.663778225359897,3.0,60802.31,272.0,1.0,True
1225740293,5,11.138088461020656,12.500735496469158,5.0,273752.29,68.0,1.0,True
1073728168,25,11.112341996861753,21.56362273122638,25.0,261187.09999999998,454.0,1.0,True
1902251705,73,11.078057051848015,45.447084262923184,55.0,3507347.9999999995,2258.0,0.7534246575342466,True
1427590967,29,11.067281440486477,26.091431468821508,25.0,3760109.72,951.0,0.8620689655172413,True
1649511569,48,11.050550479825633,14.564178427834179,48.0,1321128.0,2509.0,1.0,True
1164008017,10,11.03004667049436,15.461152968600944,10.0,3541048.4099999997,374.0,1.0,True
1912493750,29,11.019740934825485,15.846422075398394,25.0,902771.19,2442.0,0.8620689655172413,True
1225108780,11,10.983725861231846,10.983725861231846,11.0,29535.0,179.0,1.0,True
1497479836,9,10.94536622974406,13.77658482295554,9.0,2678832.0,3410.0,1.0,True
1154467173,441,10.932539658610512,43.49742691552391,357.0,3906623.5800000015,13603.0,0.8095238095238095,True
1356329122,15,10.913366636479857,12.052549303632881,15.0,1061485.8199999998,243.0,1.0,True
1710270186,9,10.884106156772376,17.162591260618882,9.0,1109954.5,235.0,1.0,True
1326136722,30,10.878612880475165,14.906403775000935,30.0,657254.0,1130.0,1.0,True
1174129563,58,10.877994807250806,53.88356774134873,14.0,8249664.430000001,56096.0,0.2413793103448276,True
1457311458,5,10.860475152003577,14.906403775000935,5.0,82197.0,146.0,1.0,True
1770782831,641,10.848515983185104,62.92986416030501,471.0,4577581.640000004,23054.0,0.734789391575663,True
1992397236,10,10.823996963811558,13.040525261157121,10.0,534750.71,178.0,1.0,True
1669058285,47,10.821744316211646,16.60094541136141,46.0,1591742.69,2643.0,0.9787234042553191,True
1154454833,9,10.819563945243708,12.245922926383846,9.0,351977.66,361.0,1.0,True
1780312686,10,10.803245084401254,15.922297623694895,10.0,303140.0,145.0,1.0,True
1689610313,3,10.714131541869603,16.294752914877826,3.0,16390.0,51.0,1.0,True
1013036904,6,10.708236778642203,20.015538253016175,5.0,55564.0,95.0,0.8333333333333334,True
1366405342,87,10.662009710043979,18.002921934156962,87.0,3285558.69,2821.0,1.0,True
1992944557,12,10.653694309179874,20.219475115518396,12.0,2738994.31,497.0,1.0,True
1366405748,73,10.646391239342522,20.59505180089015,70.0,2715729.3800000004,2499.0,0.958904109589041,True
1679127187,11,10.60369018391424,20.15550411183275,11.0,252651.25,178.0,1.0,True
1689857658,124,10.595292300088591,25.79123201197293,102.0,1698855.1099999996,3370.0,0.8225806451612904,True
1477683308,5,10.592463657026025,11.05332034513691,5.0,223325.45,130.0,1.0,True
1447464177,3,10.585088366430151,11.333137256517716,3.0,329770.1,62.0,1.0,True
1457997280,13,10.550196646227034,41.913823821216326,7.0,3275112.2500000005,2624.0,0.5384615384615384,True
1720269996,40,10.49835696632191,12.984096553368955,40.0,747260.4099999999,779.0,1.0,True
1093548182,3,10.44491727888227,10.44491727888227,3.0,223200.0,124.0,1.0,True
1932800638,12,10.439853993734006,14.906403775000935,11.0,732754.0,1448.0,0.9166666666666666,True
1144761784,4,10.421805423174742,12.77786503087748,4.0,545884.0,98.0,1.0,True
1659978419,39,10.313306302321546,14.410034243143393,37.0,1289857.5799999996,1529.0,0.9487179487179487,True
