HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
D6750,2020-10,2024-06,9,396819.0,4,2020-10-01,2024-06-01,2020Q4,2024Q2
21026,2019-01,2019-01,1,3713.84,1,2019-01-01,2019-01-01,2019Q1,2019Q1
L3675,2021-03,2024-07,5,8147.679999999999,4,2021-03-01,2024-07-01,2021Q1,2024Q3
20200,2023-12,2024-01,2,3273.52,1,2023-12-01,2024-01-01,2023Q4,2024Q1
1222Z,2018-05,2020-01,2,1143.98,1,2018-05-01,2020-01-01,2018Q2,2020Q1
80160,2021-01,2022-04,5,4410.0,1,2021-01-01,2022-04-01,2021Q1,2022Q2
E0116,2020-06,2022-03,4,876.66,3,2020-06-01,2022-03-01,2020Q2,2022Q1
ATP20,2018-08,2021-04,2,56.879999999999995,2,2018-08-01,2021-04-01,2018Q3,2021Q2
51703,2018-01,2024-08,15,8746.1,9,2018-01-01,2024-08-01,2018Q1,2024Q3
G8559,2019-01,2021-04,2,0.0,1,2019-01-01,2021-04-01,2019Q1,2021Q2
M1142,2020-05,2023-05,3,0.0,1,2020-05-01,2023-05-01,2020Q2,2023Q2
L1499,2018-09,2018-11,2,0.0,1,2018-09-01,2018-11-01,2018Q3,2018Q4
0479T,2021-04,2023-10,5,1404.26,3,2021-04-01,2023-10-01,2021Q2,2023Q4
1502F,2022-08,2024-03,7,0.0,1,2022-08-01,2024-03-01,2022Q3,2024Q1
J9255,2024-08,2024-08,1,0.0,1,2024-08-01,2024-08-01,2024Q3,2024Q3
1119F,2018-01,2023-05,10,0.0,11,2018-01-01,2023-05-01,2018Q1,2023Q2
G9390,2018-07,2020-11,3,0.0,3,2018-07-01,2020-11-01,2018Q3,2020Q4
C1782,2018-01,2024-05,6,0.0,3,2018-01-01,2024-05-01,2018Q1,2024Q2
D2721,2024-01,2024-11,8,250321.05,7,2024-01-01,2024-11-01,2024Q1,2024Q4
E0328,2023-11,2023-11,1,30719.0,1,2023-11-01,2023-11-01,2023Q4,2023Q4
W6110,2019-07,2024-03,10,39487542.99,2,2019-07-01,2024-03-01,2019Q3,2024Q1
B5000,2022-06,2022-06,1,25100.93,1,2022-06-01,2022-06-01,2022Q2,2022Q2
J2185,2018-08,2022-10,6,71124.14,2,2018-08-01,2022-10-01,2018Q3,2022Q4
X0103,2018-02,2018-02,1,5100.0,1,2018-02-01,2018-02-01,2018Q1,2018Q1
L3702,2018-01,2023-11,4,20013.739999999998,3,2018-01-01,2023-11-01,2018Q1,2023Q4
81503,2019-04,2024-10,9,108210.26,1,2019-04-01,2024-10-01,2019Q2,2024Q4
K0827,2019-06,2024-10,4,9084.699999999999,2,2019-06-01,2024-10-01,2019Q2,2024Q4
A4207,2018-08,2024-04,9,3.8,3,2018-08-01,2024-04-01,2018Q3,2024Q2
67924,2024-01,2024-01,1,0.99,1,2024-01-01,2024-01-01,2024Q1,2024Q1
88399,2019-01,2021-03,3,585.9100000000001,2,2019-01-01,2021-03-01,2019Q1,2021Q1
G0168,2020-01,2023-03,2,2288.14,2,2020-01-01,2023-03-01,2020Q1,2023Q1
0110T,2019-08,2020-08,2,0.0,1,2019-08-01,2020-08-01,2019Q3,2020Q3
L1836,2019-09,2023-10,6,9912.04,4,2019-09-01,2023-10-01,2019Q3,2023Q4
G9881,2022-03,2022-03,1,6825.0,1,2022-03-01,2022-03-01,2022Q1,2022Q1
95723,2021-04,2023-10,4,14948.37,4,2021-04-01,2023-10-01,2021Q2,2023Q4
91299,2018-10,2023-05,3,2832.4300000000003,3,2018-10-01,2023-05-01,2018Q4,2023Q2
66174,2019-10,2023-08,4,3129.63,2,2019-10-01,2023-08-01,2019Q4,2023Q3
