BILLING_PROVIDER_NPI_NUM,total_paid,total_claims,risk_upcoding,risk_velocity,risk_phantom,risk_cost_outlier,risk_relationship,risk_temporal,fraud_score,risk_tier
1235154006,482620.91000000003,9091.0,0,1,0,1,1,1,4,High
1891087490,4330.259999999999,724.0,0,1,0,1,1,1,4,High
1891118147,199462.94999999998,1953.0,0,1,0,1,1,1,4,High
1568035590,23974.829999999998,237.0,0,1,0,1,1,1,4,High
1851836001,504131.95999999996,426.0,1,1,0,1,1,0,4,High
1619281201,221590.98000000007,3441.0,1,1,0,1,1,0,4,High
1245345081,28246.85,1454.0,0,1,0,1,1,1,4,High
1083079289,4583.85,3952.0,0,1,0,1,1,1,4,High
1841476827,14144.709999999997,1924.0,0,1,0,1,1,1,4,High
1992755292,66744.53,2798.0,0,1,1,1,1,0,4,High
1861749194,1456875.72,11588.0,1,1,0,1,1,0,4,High
1790290492,12842.35,6034.0,0,1,0,1,1,1,4,High
1790732360,988904.0699999995,562524.0,0,1,1,1,1,0,4,High
1700898269,4913.81,2394.0,0,1,0,1,1,1,4,High
1982776050,182529.81000000003,51305.0,0,1,0,1,1,1,4,High
1326229287,640107.8699999998,8007.0,0,1,0,1,1,1,4,High
1699755397,333478.6700000001,5323.0,0,1,0,1,1,1,4,High
1477696805,110849.63999999998,7885.0,0,1,0,1,1,1,4,High
1194367748,35577.219999999994,3327.0,0,1,0,1,1,1,4,High
1427160274,74690.70999999999,6124.0,0,1,0,1,1,1,4,High
1225023179,505783.44999999984,12443.0,0,1,0,1,1,1,4,High
1104975796,3497.15,3551.0,0,1,0,1,1,1,4,High
1215027107,214649.09000000003,9031.0,0,1,0,1,1,1,4,High
1225468242,12278.470000000001,942.0,0,1,0,1,1,1,4,High
1154472702,50014.31,858.0,1,1,0,1,1,0,4,High
1770909830,188233.10999999996,3606.0,1,1,0,1,1,0,4,High
1124122403,208456.47,635.0,1,1,0,1,1,0,4,High
1467654590,5461.61,1209.0,0,1,0,1,1,1,4,High
1376588046,1984143.13,7916.0,1,1,0,1,1,0,4,High
1033511092,244402.45000000004,13980.0,0,1,0,1,1,1,4,High
1194318097,3689178.81,2016.0,1,1,0,1,0,1,4,High
1043242142,17266.77,10898.0,0,1,0,1,1,1,4,High
1336750967,185580.89,1394.0,1,1,0,1,1,0,4,High
1255636437,6561.15,4097.0,0,1,0,1,1,1,4,High
1922199694,5118.47,1475.0,0,1,0,1,1,1,4,High
1932118932,460334.5200000001,2853.0,1,1,0,1,0,1,4,High
1245479526,40542.16,415.0,1,1,0,1,1,0,4,High
1679121149,899.17,12823.0,0,1,1,0,1,1,4,High
1528041191,3460837.9699999993,67476.0,0,1,0,1,1,1,4,High
1578625950,1162584.73,35188.0,0,1,1,1,1,0,4,High
1710498001,1519672.489999999,19245.0,0,1,0,1,1,1,4,High
1649259730,14149.37,3120.0,0,1,0,1,1,1,4,High
1376613141,326606.45,1800.0,1,1,0,1,1,0,4,High
1790456374,15582.8,331.0,0,1,0,1,1,1,4,High
1053946079,261914.26,3805.0,0,1,0,1,1,1,4,High
1972645422,2727551.7700000005,533360.0,0,1,0,1,1,1,4,High
1952740672,189350.77000000002,4947.0,0,1,0,1,1,1,4,High
1932532199,87148.98999999998,6827.0,0,1,0,1,1,1,4,High
1073639084,329110.06999999995,19643.0,0,1,0,1,1,1,4,High
1427006113,331.72,7088.0,0,1,0,1,1,1,4,High
1235363375,182952.33,6280.0,0,1,0,1,1,1,4,High
1407128598,232924.77,10435.0,0,1,0,1,1,1,4,High
1467612499,3613.169999999999,3831.0,0,1,0,1,1,1,4,High
1568633659,338.61,776.0,0,1,0,1,1,1,4,High
1578701272,271715.94000000006,10168.0,0,1,1,1,0,1,4,High
1174635072,364140.22,8903.0,0,1,0,1,1,1,4,High
1275637324,1728310.3599999996,37794.0,0,1,1,1,1,0,4,High
1912493750,176700.0,499.0,1,1,0,1,1,0,4,High
1669835310,949564.6699999996,27875.0,1,1,0,1,0,1,4,High
1629470141,269198.5,404.0,1,1,0,1,1,0,4,High
1568424711,117345.48000000003,13693.0,0,1,1,0,1,1,4,High
1003968546,54531.95,487.0,1,0,1,1,1,0,4,High
1649525569,2761959.73,37277.0,0,1,0,1,1,1,4,High
1386706919,481820.55000000016,36599.0,0,1,1,1,0,1,4,High
1174043129,15503.920000000002,2054.0,0,1,0,1,1,1,4,High
1982946612,102543.23000000001,9197.0,0,1,0,1,1,1,4,High
1891937546,11427.429999999998,2987.0,0,1,0,1,1,1,4,High
1194317107,228341.04999999993,17734.0,0,1,1,1,1,0,4,High
1326297078,55415.31,3767.0,0,1,1,1,0,1,4,High
1710932470,511770.60999999975,12406.0,0,1,1,1,1,0,4,High
1356723605,449268.98000000004,9107.0,1,1,0,1,1,0,4,High
1629342746,828454.3,4496.0,1,1,1,1,0,0,4,High
1649334921,26285.87,8053.0,0,1,0,1,1,1,4,High
1548827876,107068.11,1630.0,0,1,0,1,1,1,4,High
1497867212,68080.48,4252.0,0,1,0,1,1,1,4,High
1629409933,36435.75000000001,238.0,1,1,0,1,1,0,4,High
1881647204,3593659.1599999983,63589.0,0,1,1,1,1,0,4,High
1568574317,73437.95999999999,4436.0,0,1,0,1,1,1,4,High
1174625339,104509.63,5759.0,0,1,0,1,1,1,4,High
1750884516,81654.82,782.0,1,1,0,1,1,0,4,High
1023872835,12903.72,353.0,1,1,0,1,1,0,4,High
1932290210,1495272.2000000002,8807.0,0,1,0,1,1,1,4,High
1558319863,4874485.8,1308.0,1,1,0,1,1,0,4,High
1932213600,506843.08000000013,20424.0,0,1,1,1,0,1,4,High
1467499343,45607.34,5301.0,0,1,0,1,1,1,4,High
1760820963,237078.86,11736.0,0,1,0,1,1,1,4,High
1801530928,10172.890000000001,611.0,1,1,0,1,0,1,4,High
1437156775,2912804.08,616.0,1,1,0,1,1,0,4,High
1376725952,1224602.9799999997,29880.0,0,1,1,1,1,0,4,High
1891830568,119373.39999999998,9260.0,0,1,0,1,1,1,4,High
1669258133,1300201.19,3951.0,0,1,1,1,0,1,4,High
1043751035,652221.3200000001,16315.0,0,1,0,1,1,1,4,High
1538333265,30461.719999999998,100.0,1,1,0,1,0,1,4,High
1740601418,324779.04,12590.0,0,1,0,1,1,1,4,High
1215969357,78359.07999999999,1901.0,0,1,0,1,1,1,4,High
1366996555,49231.81,1570.0,0,1,1,1,0,1,4,High
1952476988,97447155.2600001,1696219.0,0,1,1,1,1,0,4,High
1154583193,683.42,1621.0,0,1,0,1,1,1,4,High
1679573083,4003780.8200000008,26459.0,1,1,1,1,0,0,4,High
1700325610,482356.39000000013,17964.0,0,1,1,1,1,0,4,High
1760441844,1677207.1300000006,3006.0,1,1,0,1,1,0,4,High
1801027917,60650.09000000001,2593.0,0,1,0,1,1,1,4,High
1548375371,284724.58999999997,15653.0,0,1,0,1,1,1,4,High
1114341666,44655.55,3968.0,0,1,0,1,1,1,4,High
1346632650,17554.370000000003,1019.0,1,1,0,1,1,0,4,High
1689629115,7244.62,18850.0,0,1,0,1,1,1,4,High
1720152457,108921.0,228.0,1,1,0,1,1,0,4,High
1396828331,73093.65999999999,10831.0,0,1,0,1,1,1,4,High
1285018457,2827007.669999999,9522.0,1,1,0,1,0,1,4,High
1588935365,117564.16000000002,6451.0,0,1,0,1,1,1,4,High
1891090049,12647.91,3978.0,0,1,0,1,1,1,4,High
1073993580,177471.03,12234.0,0,1,1,0,1,1,4,High
1396059184,160457.90000000008,4424.0,0,1,1,1,1,0,4,High
1154350213,22871.489999999998,1155.0,0,1,0,1,1,1,4,High
1891047742,58616.780000000006,6320.0,0,1,0,1,1,1,4,High
1205835485,1708296.92,9476.0,0,1,0,1,1,1,4,High
1336533041,5626853.340000003,152654.0,0,1,1,1,1,0,4,High
1972891778,1835.7599999999998,7298.0,0,1,0,1,1,1,4,High
1689936304,38134.92,816.0,0,1,0,1,1,1,4,High
1760798078,21007.57,11202.0,0,1,0,1,1,1,4,High
1699166926,277420.1,6752.0,0,1,1,1,1,0,4,High
1144228487,4276995.17,54792.0,0,1,1,1,1,0,4,High
1750613329,1201013.04,8274.0,0,1,0,1,1,1,4,High
1871872184,191068.68000000002,3027.0,0,1,0,1,1,1,4,High
1861796161,9073.16,3050.0,0,1,0,1,1,1,4,High
1588619696,59819.240000000005,5182.0,0,1,0,1,1,1,4,High
1215269923,166813.41,1375.0,1,1,0,1,1,0,4,High
1417097593,1566105.0799999998,13479.0,1,1,0,1,1,0,4,High
1467546135,8280138.119999993,193566.0,0,1,1,1,1,0,4,High
