CLAIM_FROM_MONTH,total_paid,total_claims,providers,paid_3m_avg,paid_6m_avg,paid_12m_avg,cumulative_paid,paid_std_6m,cv_6m
2022-11-01,15675981809.009628,263677624.0,258432,15609500677.149622,15752668975.87127,15612163845.7288,694487544638.3492,484112713.59056234,0.03073210732302501
2022-12-01,15297538611.299696,251420641.0,251442,15855943547.279612,15680956307.542936,15805820201.548788,709785083249.6489,502759760.50318724,0.03206180481871167
2023-01-01,16594310221.529514,280827661.0,263617,15762200744.132956,16080998815.007929,15920712517.98127,726379393471.1785,903690523.2652037,0.05619616876171993
2023-02-01,15394753399.56965,259922326.0,258452,16552496952.866234,16120484032.16295,16058871174.00958,741774146870.7482,896990882.886097,0.05564292493305141
2023-03-01,17668427237.49954,298461892.0,271651,16385024517.04629,16387866624.481272,16185827420.346258,759442574108.2477,973811158.2369522,0.059422692443823595
2023-04-01,16091892914.069675,265379484.0,259681,17013532504.829588,16509808858.076223,16276962249.662096,775534467022.3174,847602938.9066173,0.05133935505812892
2023-05-01,17280277362.919548,287129748.0,267084,16467120763.28621,16365073372.14789,16412725503.396269,792814744385.2369,902645044.9662646,0.05515679792200002
2023-06-01,16029192012.869404,261269038.0,257278,16345122227.24949,16690698533.149576,16495020220.040436,808843936398.1063,832257842.5950361,0.04986357167389249
2023-07-01,15725897305.959518,246824756.0,247411,16367864561.469564,16472925684.316267,16566248599.439623,824569833704.0658,682780024.5298997,0.04144861924436221
2023-08-01,17348504365.57977,279910801.0,261549,16478730605.346327,16704966974.629585,16665326024.667969,841918338069.6455,759638544.8194726,0.04547381302657839
2023-09-01,16361790144.499693,259464154.0,253825,17064811722.00968,16602173815.599602,16813261307.978815,858280128214.1451,706058203.4587543,0.04252805754842378
2023-10-01,17484140655.949577,276564708.0,261465,16836483069.729635,16622688340.803024,16799322528.807974,875764268870.0947,687628229.5089594,0.04136684845501596
2023-11-01,16663518408.739637,259356081.0,253968,16766646076.25972,16965578677.188044,16908056337.97714,892427787278.8344,663530653.1608664,0.03911040500216189
2023-12-01,16152279164.089952,243448023.0,244184,16866345632.36641,16935824082.808054,16933054667.77465,908580066442.9243,646714640.71763,0.03818619262667738
2024-01-01,17783239324.26964,272010590.0,256264,17035165095.886473,17125719373.29968,16911490273.223862,926363305767.194,610725744.5882287,0.035661319170066354
2024-02-01,17169976799.299828,266795878.0,255035,17484792670.339634,17111145701.324694,16969587173.284706,943533282566.4938,601434828.145652,0.03514871760451965
2024-03-01,17501161887.44944,264969435.0,253950,17355945770.282978,17263935519.949696,16886128987.757202,961034444453.9432,581075968.9831855,0.033658372293600795
2024-04-01,17396698624.09967,267197354.0,255881,17492705944.01292,17200292205.644695,16824842375.75136,978431143078.043,729212519.1714824,0.042395356454012656
2024-05-01,17580257320.48965,262777836.0,253766,16915791740.949755,16973595669.38137,16727030830.383028,996011400398.5326,723141613.488289,0.04260391419555035
2024-06-01,15770419278.259945,228543520.0,238627,16591245568.479757,16836433892.706345,16411306826.217207,1011781819676.7925,755756275.394511,0.04488814437847849
2024-07-01,16423060106.68968,242983356.0,239909,16180161841.399767,16523965378.20304,15415230589.122213,1028204879783.4822,811474717.6436642,0.049108957751393637
2024-08-01,16347006139.24968,246659583.0,242152,16132139015.456322,16342915959.44136,,1044551885922.7318,689888206.1681607,0.0422132872664997
2024-09-01,15626350800.429607,233168618.0,236868,16094586350.402956,15558678132.484718,,1060178236723.1614,1355445237.5241666,0.08711827740006742
2024-10-01,16310402111.52959,244177082.0,237918,14937194423.569666,13630168972.599726,,1076488638834.6909,4813739699.7058115,0.35316801349878435
2024-11-01,12874830358.749807,183954822.0,204539,11128198929.743134,,,1089363469193.4407,,
2024-12-01,4199364318.950004,63394189.0,117151,,,,1093562833512.3906,,
