BILLING_PROVIDER_NPI_NUM,SERVICING_PROVIDER_NPI_NUM,shared_codes,shared_months,relationship_paid,relationship_claims,billing_total,concentration_pct,flag_concentrated,flag_broad,flag_any
1326311085,1912957382,1,2,309012.45,4263.0,315464.61,97.95471194058821,True,False,True
1265995435,1427485366,1,1,308283.75,1100.0,336546.17,91.60221612386795,True,False,True
1609923853,A441902000,1,1,307992.33,5445.0,307992.33,100.0,True,False,True
1588276885,A304140100,1,2,307908.06,4201.0,329150.44,93.54630059130409,True,False,True
1205847746,1902916711,6,7,305911.67,699.0,328645.63,93.08253087071323,True,False,True
1972634939,1083116347,1,1,305386.47,849.0,336400.56999999995,90.7806042064673,True,False,True
1669635173,1215304878,9,13,304869.72,4174.0,788969.01,38.6415329545073,False,True,True
1962502229,1083615991,22,25,302105.82999999996,1667.0,2982019.53,10.130913864269694,False,True,True
1316010952,1215915152,15,16,301502.51000000007,1805.0,368086.8500000001,81.91069852128649,False,True,True
1841961349,1972962082,1,1,299612.67,2095.0,299612.67,100.0,True,False,True
1134349954,1427029180,13,14,299425.7800000001,3291.0,468755.7800000001,63.87671209088879,False,True,True
1174822902,1588875512,7,8,299202.91,660.0,299202.91,100.0,True,True,True
1316197304,1013349208,1,2,298200.0,1744.0,303170.37,98.3605356948306,True,False,True
1215913470,1104802354,51,35,296610.3199999999,9930.0,1341733.3699999999,22.10650242678245,False,True,True
1477832772,1639695067,2,3,296281.14,1349.0,296281.14,100.0,True,False,True
1568658821,1114242864,7,10,295300.13999999996,1286.0,4255946.32,6.93853065327196,False,True,True
1104829159,1659352276,119,70,293098.7200000001,56210.0,349742.5700000001,83.80413056380297,False,True,True
1104324524,1538668298,1,1,292980.5,2018.0,292980.5,100.0,True,False,True
1386622595,1922204932,1,1,292157.91,70.0,292157.91,100.0,True,False,True
1568116200,1003174285,1,1,291766.78,28.0,291766.78,100.0,True,False,True
1083765689,1295829489,11,18,290533.1,7797.0,5037397.779999999,5.767523485111791,False,True,True
1871027854,1346283603,1,1,289921.0,2888.0,298922.25,96.98876547329614,True,False,True
1275955577,1518516509,1,1,287903.0,2614.0,309017.0,93.16736619668174,True,False,True
1083765689,1336169606,13,14,287564.59,5402.0,5037397.779999999,5.708594051113431,False,True,True
1396750188,A565813600,15,14,287097.89999999997,4012.0,1692148.27,16.96647422037077,False,True,True
1669832382,1972509107,5,7,286628.81,18359.0,296729.11000000004,96.59612095355253,True,False,True
1225136419,A565813600,7,10,286493.39,1761.0,496635.28,57.686878386891884,False,True,True
1841437241,1275578304,8,8,286124.98,2708.0,617663.62,46.3237546676296,False,True,True
1346423506,1407021637,1,2,285758.75,153.0,285758.75,100.0,True,False,True
1780738757,1679879720,1,2,285280.9,77.0,285280.9,100.0,True,False,True
1245307818,1932145778,66,48,284405.7999999999,25797.0,354612.85999999987,80.20177271630814,False,True,True
1336174325,1245257708,14,15,284340.7,1485.0,545635.75,52.11181635367551,False,True,True
1902944002,1780945089,3,3,284052.67,4627.0,284052.67,100.0,True,False,True
1316110232,1871714501,1,1,282755.0,35.0,282755.0,100.0,True,False,True
1912976408,1033436704,10,10,282630.11999999994,3447.0,2055517.3199999998,13.749829167092592,False,True,True
1548305584,1609404177,2,2,281491.12,115.0,295767.67,95.17305255168694,True,False,True
1790221703,1497709315,22,23,279991.08999999997,5844.0,408184.95,68.59417281308386,False,True,True
1609849074,1013915594,21,22,279400.66,2713.0,1850702.93,15.097002088822542,False,True,True
1447261540,1255407847,7,7,277903.45000000007,876.0,13562968.53,2.048986911569573,False,True,True
1699703827,1760519219,7,7,276917.22,1953.0,70230078.79,0.3943000275252859,False,True,True
1972598449,1962571430,15,17,274819.7200000001,1589.0,1929476.36,14.24322814714351,False,True,True
1932197258,1982782017,1,1,274239.8,12.0,274623.51,99.86027780360101,True,False,True
1477914232,1972780146,7,8,273620.33999999997,290.0,273620.33999999997,100.0,True,True,True
A806644200,A860823700,1,1,271957.93,719.0,271957.93,100.0,True,False,True
1023614609,1730475195,2,2,271945.17,981.0,272036.14999999997,99.96655591545462,True,False,True
1376847814,1932148905,1,1,270918.0,666.0,270918.0,100.0,True,False,True
1578730719,1427320704,1,2,270562.0,97.0,270562.0,100.0,True,False,True
1679875744,1649212382,11,12,270535.0,2602.0,324492.8,83.37164954045205,False,True,True
1699703827,1861523540,8,8,269434.82,1292.0,70230078.79,0.3836459030690488,False,True,True
